name,fm./loc.,slat,slon,n,dec,inc,k,alpha95,f_corr,VGP_lat,VGP_lon,K,A95,dp,dm,mean_age,min_age,2sig_min,max_age,2sig_max,uncer_dist,rock_typ_1,rock_typ_2,rock_typ_3,geologic_classes,geologic_types,lithologies,demag,struc_cont,rot_area,polarity,strat_group,ordering,synch_unit,in_study_pole,rej_crit,pmag_ref,age_ref,pmag_comments,age_comments,citations,Study,VGP_lon_recalc,VGP_lat_recalc,inc_reverse,dec_reverse,vgp_lat_SH,vgp_lon_SH,age_uncertainty,keep
RM1,Rito del Medio pluton,36.89532533,-105.2234067,9,346,44.7,13,14.9,,74.1,127.1,,,,,24.995,24.8,0.09,25.19,0.06,uniform,igneous,plutonic,granite,Igneous:Extrusive,Lava,Granite,AF-TH,0,1,,0,,0,2,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range based on span of reported Ar-Ar ages.,10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,127.1,74.1,-44.7,166,-74.1,307.1,0.39,TRUE
RM2,Rito del Medio pluton,36.81120953,-105.8243635,6,9.5,44.9,12,20.5,,76.9,33.5,,,,,24.995,24.8,0.09,25.19,0.06,uniform,igneous,plutonic,granite,Igneous:Extrusive,Lava,Granite,AF-TH,0,1,,0,,0,2,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range based on span of reported Ar-Ar ages.,10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,33.5,76.9,-44.9,189.5,-76.9,213.5,0.39,TRUE
RM3,Rito del Medio pluton,36.74038948,-105.5223627,4,163,-44.5,36,15.4,,-72.1,313.1,,,,,24.995,24.8,0.09,25.19,0.06,uniform,igneous,plutonic,granite,Igneous:Extrusive,Lava,Granite,AF-TH,0,1,,0,,0,2,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range based on span of reported Ar-Ar ages.,10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,313.1,-72.1,-44.5,163,-72.1,313.1,0.39,TRUE
RM4,Rito del Medio pluton,36.79062596,-105.589795,6,181.6,-21.3,22,16.2,,-64.2,250.8,,,,,24.995,24.8,0.09,25.19,0.06,uniform,igneous,plutonic,granite,Igneous:Extrusive,Lava,Granite,AF-TH,0,1,,0,,0,2,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range based on span of reported Ar-Ar ages.,10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,250.8,-64.2,-21.3,181.6,-64.2,250.8,0.39,TRUE
CP1,Canada Pinabete pluton,36.7,-105.5,7,61.7,73.2,14,16.9,,45.1,294.6,,,,,25.335,25.29,0.05,25.38,0.09,uniform,igneous,plutonic,granite,Igneous:Extrusive,Lava,Granite,AF-TH,0,1,,0,,0,2,[],Hagstrum and Lipman (1986),Tappa et al. (2011) and Zimmerer et al. (2012),,age range based on the span of maximum and minimum U-Pb and Ar-Ar ages.,10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,294.6303381,45.07848538,-73.2,241.7,-45.07848538,114.6303381,0.09,TRUE
R9,Rhyolite flows and intrusives,36.76125695,-105.6165845,6,339.1,59.6,332,3.7,,73.3,183.5,,,,,25.47,25.4,,25.54,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,"assigned age is from comenditic rhyolite, which this site is correlated with",10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,183.5,73.3,-59.6,159.1,-73.3,3.500000009,0.14,TRUE
R10,Rhyolite flows and intrusives,36.66787709,-106.0041002,5,349,49,216,5.2,,78.6,130.8,,,,,25.47,25.4,,25.54,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,"assigned age is from comenditic rhyolite, which this site is correlated with",10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,130.8,78.6,-49,169,-78.6,310.8,0.14,TRUE
1,Hinsdale Formation,37.31425148,-106.9599757,5,18.7,56.3,109,6.2,,75.1,339.1,,,,,26.05,25.7,1.8,26.4,1.2,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,1,N,0,,0,1,[],Brown and Golombek (1997),Thompson et al. (1991),,age based on range of 4 K-Ar ages; not updated from 1991 standards,10.1029/97GL00127:10.1029/91JB00068:10.1130/2013.2494(02),San_Luis_Hills_volcanics,339.1,75.1,-56.3,198.7,-75.1,159.1,0.7,TRUE
4,Hinsdale Formation,37.27259304,-106.0262657,9,355.2,63.5,510,2.3,,81.4,230.7,,,,,26.05,25.7,1.8,26.4,1.2,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,1,N,0,,0,1,[],Brown and Golombek (1997),Thompson et al. (1991),,age based on range of 4 K-Ar ages; not updated from 1991 standards,10.1029/97GL00127:10.1029/91JB00068:10.1130/2013.2494(02),San_Luis_Hills_volcanics,230.7,81.39999999,-63.5,175.2,-81.39999999,50.70000003,0.7,TRUE
5,Hinsdale Formation,37.01744128,-105.7405514,3,5.9,40.2,18,17.2,,75,52.8,,,,,26.05,25.7,1.8,26.4,1.2,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,1,N,0,,0,1,[],Brown and Golombek (1997),Thompson et al. (1991),,age based on range of 4 K-Ar ages; not updated from 1991 standards,10.1029/97GL00127:10.1029/91JB00068:10.1130/2013.2494(02),San_Luis_Hills_volcanics,52.8,75,-40.2,185.9,-75,232.8,0.7,TRUE
